Date,Period log return
2021-04-29,0.011638092821514515
2021-05-06,0.0072396726437550275
2021-05-13,-0.006241675874227783
2021-05-20,-0.0016685508488408303
2021-05-27,0.006998039789780015
2021-06-03,0.00023197829371934177
2021-06-10,0.01604004763154764
2021-06-17,0.0039597790701306635
2021-06-24,0.0017121015657185947
2021-07-01,-0.008114192835071293
2021-07-08,-0.009991669293424595
2021-07-15,0.003640524847269593
2021-07-22,-0.00564161197256971
2021-07-29,-0.005426208752966921
2021-08-05,0.01216691286769507
2021-08-12,-0.008001854638921679
2021-08-19,0.0019621860423798434
2021-08-26,0.002079301421662749
2021-09-02,0.002340631473486511
2021-09-09,-0.01578272012328673
2021-09-16,0.007912869979768372
2021-09-23,0.03596539699157445
2021-09-30,-0.009817177249938639
2021-10-07,0.027584399720456506
